ts_code,date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
M1101.DCE,20100118,,2888.0,2890.0,2890.0,2861.0,2865.0,2871.0,-23.0,-17.0,7018.0,20155.6,5648.0,5648.0
M1101.DCE,20100119,2865.0,2871.0,2870.0,2882.0,2863.0,2870.0,2871.0,-1.0,0.0,7296.0,20947.86,10128.0,4480.0
M1101.DCE,20100120,2870.0,2871.0,2871.0,2875.0,2829.0,2832.0,2847.0,-39.0,-24.0,7692.0,21899.43,14074.0,3946.0
M1101.DCE,20100121,2832.0,2847.0,2828.0,2845.0,2820.0,2843.0,2832.0,-4.0,-15.0,6566.0,18594.92,15916.0,1842.0
M1101.DCE,20100122,2843.0,2832.0,2833.0,2838.0,2801.0,2829.0,2820.0,-3.0,-12.0,12494.0,35245.42,18644.0,2728.0
M1101.DCE,20100125,2829.0,2820.0,2823.0,2838.0,2822.0,2831.0,2830.0,11.0,10.0,8902.0,25201.34,20630.0,1986.0
M1101.DCE,20100126,2831.0,2830.0,2822.0,2830.0,2807.0,2807.0,2818.0,-23.0,-12.0,13192.0,37176.39,23246.0,2616.0
M1101.DCE,20100127,2807.0,2818.0,2818.0,2823.0,2809.0,2815.0,2815.0,-3.0,-3.0,8264.0,23263.54,25046.0,1800.0
M1101.DCE,20100128,2815.0,2815.0,2801.0,2801.0,2771.0,2777.0,2782.0,-38.0,-33.0,15454.0,42997.9,30286.0,5240.0
M1101.DCE,20100129,2777.0,2782.0,2780.0,2796.0,2775.0,2777.0,2785.0,-5.0,3.0,17318.0,48239.04,35820.0,5534.0
M1101.DCE,20100201,2777.0,2785.0,2770.0,2770.0,2719.0,2724.0,2740.0,-61.0,-45.0,22600.0,61944.09,36874.0,1054.0
M1101.DCE,20100202,2724.0,2740.0,2739.0,2743.0,2703.0,2714.0,2717.0,-26.0,-23.0,21578.0,58640.98,38202.0,1328.0
M1101.DCE,20100203,2714.0,2717.0,2741.0,2746.0,2720.0,2745.0,2732.0,28.0,15.0,16732.0,45713.79,41198.0,2996.0
M1101.DCE,20100204,2745.0,2732.0,2708.0,2746.0,2708.0,2734.0,2727.0,2.0,-5.0,22598.0,61630.83,45976.0,4778.0
M1101.DCE,20100205,2734.0,2727.0,2719.0,2741.0,2712.0,2727.0,2728.0,0.0,1.0,33712.0,91968.65,51918.0,5942.0
M1101.DCE,20100208,2727.0,2728.0,2740.0,2745.0,2735.0,2742.0,2738.0,14.0,10.0,18236.0,49941.44,54522.0,2604.0
M1101.DCE,20100209,2742.0,2738.0,2750.0,2750.0,2736.0,2745.0,2741.0,7.0,3.0,11612.0,31838.38,54308.0,-214.0
M1101.DCE,20100210,2745.0,2741.0,2739.0,2745.0,2717.0,2728.0,2732.0,-13.0,-9.0,14142.0,38648.86,54656.0,348.0
M1101.DCE,20100211,2728.0,2732.0,2742.0,2764.0,2742.0,2752.0,2751.0,20.0,19.0,18504.0,50919.88,53878.0,-778.0
M1101.DCE,20100212,2752.0,2751.0,2747.0,2757.0,2745.0,2750.0,2750.0,-1.0,-1.0,8288.0,22795.86,54500.0,622.0
M1101.DCE,20100222,2750.0,2750.0,2771.0,2792.0,2763.0,2792.0,2779.0,42.0,29.0,19776.0,54962.87,55202.0,702.0
