时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-03-06 10:00:00,1.952,1.957,1.959,1.951,0.1,0.002,673520,131746302.0,0.41,4.92
2025-03-06 10:30:00,1.957,1.958,1.96,1.953,0.05,0.001,291476,57053821.0,0.36,2.13
2025-03-06 11:00:00,1.959,1.953,1.963,1.951,-0.26,-0.005,521880,102077227.0,0.61,3.81
2025-03-06 11:30:00,1.953,1.95,1.954,1.939,-0.15,-0.003,651088,126791394.0,0.77,4.75
2025-03-06 13:30:00,1.951,1.951,1.953,1.949,0.05,0.001,160188,31245429.0,0.21,1.17
2025-03-06 14:00:00,1.951,1.963,1.964,1.951,0.62,0.012,783149,153424491.0,0.67,5.72
2025-03-06 14:30:00,1.963,1.962,1.963,1.957,-0.05,-0.001,271998,53329696.0,0.31,1.99
2025-03-06 15:00:00,1.961,1.963,1.965,1.954,0.05,0.001,422330,82790614.0,0.56,3.08
2025-03-07 10:00:00,1.97,1.981,1.985,1.97,0.92,0.018,927955,183633921.0,0.76,6.77
2025-03-07 10:30:00,1.981,1.979,1.982,1.977,-0.1,-0.002,262508,51945690.0,0.25,1.92
2025-03-07 11:00:00,1.979,1.975,1.981,1.975,-0.2,-0.004,307687,60876048.0,0.3,2.25
2025-03-07 11:30:00,1.975,1.971,1.978,1.968,-0.2,-0.004,256747,50656392.0,0.51,1.87
2025-03-07 13:30:00,1.971,1.97,1.971,1.968,-0.05,-0.001,103937,20470115.0,0.15,0.76
2025-03-07 14:00:00,1.97,1.963,1.971,1.96,-0.36,-0.007,310388,60985110.0,0.56,2.27
2025-03-07 14:30:00,1.963,1.967,1.97,1.96,0.2,0.004,235435,46266837.0,0.51,1.72
2025-03-07 15:00:00,1.967,1.961,1.967,1.96,-0.31,-0.006,229687,45068103.0,0.36,1.68
2025-03-10 10:00:00,2.009,1.994,2.01,1.988,1.68,0.033,1318111,263505930.0,1.12,9.62
2025-03-10 10:30:00,1.994,1.997,1.999,1.99,0.15,0.003,445763,88956479.0,0.45,3.25
2025-03-10 11:00:00,1.998,1.995,2.004,1.993,-0.1,-0.002,546785,109285043.0,0.55,3.99
2025-03-10 11:30:00,1.995,1.99,1.997,1.989,-0.25,-0.005,337015,67143576.0,0.4,2.46
2025-03-10 13:30:00,1.991,1.991,1.994,1.991,0.05,0.001,95940,19110487.0,0.15,0.7
2025-03-10 14:00:00,1.991,1.981,1.992,1.977,-0.5,-0.01,489892,97130834.0,0.75,3.58
2025-03-10 14:30:00,1.982,1.982,1.984,1.98,0.05,0.001,201554,39950953.0,0.2,1.47
2025-03-10 15:00:00,1.982,1.99,1.99,1.98,0.4,0.008,286209,56813206.0,0.5,2.09
2025-03-11 10:00:00,1.946,1.95,1.953,1.939,-2.01,-0.04,889293,172997924.0,0.7,6.49
2025-03-11 10:30:00,1.95,1.949,1.951,1.944,-0.05,-0.001,296349,57723565.0,0.36,2.16
2025-03-11 11:00:00,1.949,1.951,1.955,1.946,0.1,0.002,468793,91451649.0,0.46,3.42
2025-03-11 11:30:00,1.951,1.944,1.951,1.944,-0.36,-0.007,243922,47481242.0,0.36,1.78
2025-03-11 13:30:00,1.944,1.944,1.946,1.943,0.0,0.0,178227,34655129.0,0.15,1.3
2025-03-11 14:00:00,1.945,1.943,1.945,1.94,-0.05,-0.001,428619,83260329.0,0.26,3.13
2025-03-11 14:30:00,1.943,1.939,1.944,1.937,-0.21,-0.004,515345,99992977.0,0.36,3.76
2025-03-11 15:00:00,1.939,1.937,1.941,1.934,-0.1,-0.002,444134,86024493.0,0.36,3.24
2025-03-12 10:00:00,1.93,1.919,1.93,1.918,-0.93,-0.018,682539,131293796.0,0.62,4.98
2025-03-12 10:30:00,1.92,1.918,1.922,1.916,-0.05,-0.001,307475,58974740.0,0.31,2.24
