ts_code,date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159985.SZ,20191205,0.983,0.983,0.995,0.978,0.986,0.003,0.3052,122256.57,12005.606
159985.SZ,20191206,0.986,0.993,0.996,0.982,0.984,-0.002,-0.2028,281011.46,27811.112
159985.SZ,20191209,0.984,0.986,0.993,0.986,0.988,0.004,0.4065,110016.32,10891.21
159985.SZ,20191210,0.988,0.987,0.99,0.984,0.987,-0.001,-0.1012,53524.05,5283.263
159985.SZ,20191211,0.987,0.991,0.995,0.989,0.992,0.005,0.5066,135801.31,13472.875
159985.SZ,20191212,0.992,0.99,0.99,0.985,0.985,-0.007,-0.7056,87262.03,8610.363
159985.SZ,20191213,0.985,0.983,0.983,0.972,0.975,-0.01,-1.0152,132745.04,12977.756
159985.SZ,20191216,0.975,0.978,0.983,0.977,0.983,0.008,0.8205,96973.98,9516.556
159985.SZ,20191217,0.983,0.981,0.983,0.98,0.983,0.0,0.0,81848.18,8035.284
159985.SZ,20191218,0.983,0.984,0.988,0.984,0.986,0.003,0.3052,96034.15,9473.833
159985.SZ,20191219,0.986,0.984,0.984,0.977,0.977,-0.009,-0.9128,83681.99,8202.012
159985.SZ,20191220,0.977,0.98,0.981,0.975,0.977,0.0,0.0,59994.04,5867.378
159985.SZ,20191223,0.977,0.979,0.984,0.978,0.98,0.003,0.3071,96949.3,9506.656
159985.SZ,20191224,0.98,0.982,0.983,0.979,0.981,0.001,0.102,44233.03,4338.252
159985.SZ,20191225,0.981,0.978,0.978,0.975,0.977,-0.004,-0.4077,84515.21,8254.085
159985.SZ,20191226,0.977,0.976,0.977,0.973,0.976,-0.001,-0.1024,135562.09,13210.227
159985.SZ,20191227,0.976,0.976,0.978,0.975,0.976,0.0,0.0,54578.03,5329.569
159985.SZ,20191230,0.976,0.976,0.988,0.975,0.988,0.012,1.2295,141009.18,13860.925
159985.SZ,20191231,0.988,0.994,0.994,0.987,0.989,0.001,0.1012,90117.58,8912.572
159985.SZ,20200102,0.989,0.989,0.992,0.986,0.988,-0.001,-0.1011,118014.11,11672.903
159985.SZ,20200103,0.988,0.988,0.992,0.984,0.984,-0.004,-0.4049,105365.08,10412.359
159985.SZ,20200106,0.984,0.979,0.98,0.976,0.978,-0.006,-0.6098,115055.11,11249.379
159985.SZ,20200107,0.978,0.98,0.98,0.978,0.978,0.0,0.0,39603.01,3877.502
159985.SZ,20200108,0.978,0.975,0.979,0.972,0.975,-0.003,-0.3067,178711.16,17420.574
159985.SZ,20200109,0.975,0.971,0.974,0.967,0.97,-0.005,-0.5128,206169.05,19991.686
159985.SZ,20200110,0.97,0.965,0.965,0.955,0.956,-0.014,-1.4433,297159.15,28490.555
159985.SZ,20200113,0.956,0.957,0.957,0.947,0.948,-0.008,-0.8368,194324.36,18484.346
159985.SZ,20200114,0.948,0.953,0.953,0.948,0.95,0.002,0.211,365533.05,34734.123
159985.SZ,20200115,0.95,0.951,0.964,0.951,0.962,0.012,1.2632,251274.85,24068.548
159985.SZ,20200116,0.962,0.957,0.959,0.955,0.959,-0.003,-0.3119,109584.03,10490.223
159985.SZ,20200117,0.959,0.958,0.959,0.95,0.957,-0.002,-0.2086,188649.56,18008.007
159985.SZ,20200120,0.957,0.956,0.958,0.955,0.957,0.0,0.0,60251.1,5763.561
159985.SZ,20200121,0.957,0.957,0.968,0.956,0.966,0.009,0.9404,161676.05,15562.318
159985.SZ,20200122,0.966,0.956,0.957,0.951,0.954,-0.012,-1.2422,301154.01,28724.335
159985.SZ,20200123,0.954,0.952,0.953,0.942,0.944,-0.01,-1.0482,122113.12,11577.711
159985.SZ,20200203,0.944,0.908,0.922,0.908,0.919,-0.025,-2.6483,171550.4,15753.754
159985.SZ,20200204,0.919,0.935,0.947,0.933,0.946,0.027,2.938,122398.25,11489.843
159985.SZ,20200205,0.946,0.944,0.945,0.939,0.942,-0.004,-0.4228,115564.0,10886.897
159985.SZ,20200206,0.942,0.941,0.944,0.935,0.943,0.001,0.1062,113022.02,10620.331
159985.SZ,20200207,0.943,0.941,0.942,0.938,0.94,-0.003,-0.3181,79758.0,7498.644
159985.SZ,20200210,0.94,0.942,0.951,0.942,0.95,0.01,1.0638,73893.09,7001.516
159985.SZ,20200211,0.95,0.947,0.951,0.945,0.948,-0.002,-0.2105,54476.02,5161.888
159985.SZ,20200212,0.948,0.948,0.951,0.942,0.944,-0.004,-0.4219,100831.0,9552.268
159985.SZ,20200213,0.944,0.95,0.96,0.946,0.959,0.015,1.589,184279.5,17565.022
159985.SZ,20200214,0.959,0.956,0.959,0.951,0.954,-0.005,-0.5214,140354.18,13401.454
159985.SZ,20200217,0.954,0.958,0.962,0.956,0.958,0.004,0.4193,154827.21,14832.096
159985.SZ,20200218,0.958,0.957,0.957,0.948,0.95,-0.008,-0.8351,157879.11,15008.285
159985.SZ,20200219,0.95,0.95,0.952,0.946,0.951,0.001,0.1053,108158.04,10267.976
159985.SZ,20200220,0.951,0.952,0.955,0.95,0.951,0.0,0.0,100269.06,9549.634
159985.SZ,20200221,0.951,0.954,0.956,0.95,0.951,0.0,0.0,76359.18,7276.702
159985.SZ,20200224,0.951,0.948,0.948,0.937,0.937,-0.014,-1.4721,211979.01,19956.445
159985.SZ,20200225,0.937,0.937,0.94,0.936,0.94,0.003,0.3202,117484.18,11030.457
159985.SZ,20200226,0.942,0.941,0.943,0.938,0.943,0.001,0.1062,172922.08,16262.757
159985.SZ,20200227,0.943,0.946,0.951,0.944,0.945,0.002,0.2121,167529.19,15879.576
159985.SZ,20200228,0.945,0.949,0.953,0.932,0.933,-0.012,-1.2698,225137.03,21254.497
159985.SZ,20200302,0.933,0.945,0.972,0.943,0.971,0.038,4.0729,502623.49,48427.47
159985.SZ,20200303,0.971,0.973,0.975,0.964,0.968,-0.003,-0.309,307201.1,29759.472
159985.SZ,20200304,0.968,0.967,0.979,0.964,0.968,0.0,0.0,308962.08,29943.351
159985.SZ,20200305,0.968,0.969,0.972,0.966,0.969,0.001,0.1033,110977.0,10744.254
159985.SZ,20200306,0.969,0.965,0.965,0.96,0.964,-0.005,-0.516,196463.02,18914.315
159985.SZ,20200309,0.964,0.959,0.96,0.941,0.948,-0.016,-1.6598,404888.0,38395.588
159985.SZ,20200310,0.948,0.953,0.958,0.95,0.957,0.009,0.9494,98394.01,9391.456
159985.SZ,20200311,0.957,0.957,0.957,0.949,0.95,-0.007,-0.7315,77505.01,7381.79
159985.SZ,20200312,0.95,0.949,0.95,0.942,0.946,-0.004,-0.4211,109131.0,10323.865
159985.SZ,20200313,0.946,0.943,0.96,0.939,0.959,0.013,1.3742,385152.2,36610.658
159985.SZ,20200316,0.959,0.966,0.976,0.956,0.959,0.0,0.0,524996.12,50794.259
159985.SZ,20200317,0.959,0.967,0.969,0.949,0.96,0.001,0.1043,344776.1,33027.394
159985.SZ,20200318,0.96,0.963,0.969,0.957,0.958,-0.002,-0.2083,213425.04,20566.343
159985.SZ,20200319,0.958,0.961,0.964,0.944,0.949,-0.009,-0.9395,329134.07,31253.194
159985.SZ,20200320,0.949,0.969,0.979,0.969,0.977,0.028,2.9505,285109.09,27798.623
159985.SZ,20200323,0.977,1.001,1.032,1.001,1.029,0.052,5.3224,639027.68,64732.108
159985.SZ,20200324,1.029,1.038,1.038,1.007,1.015,-0.014,-1.3605,659893.25,66962.448
159985.SZ,20200325,1.015,1.021,1.036,1.021,1.032,0.017,1.6749,596369.94,61396.075
159985.SZ,20200326,1.032,1.019,1.021,1.002,1.005,-0.027,-2.6163,431341.02,43755.854
159985.SZ,20200327,1.005,1.017,1.023,1.01,1.017,0.012,1.194,341231.1,34706.701
159985.SZ,20200330,1.017,1.04,1.043,1.025,1.026,0.009,0.885,587149.25,60790.853
