ts_code,date,open,close,high,low,vol,amount,oi
B2501.DCE,2024-08-01 09:05:00,3721,3724,3731,3721,46,1714460,4125
B2501.DCE,2024-08-01 09:10:00,3724,3724,3727,3723,25,931190,4126
B2501.DCE,2024-08-01 09:15:00,3724,3722,3724,3722,42,1563390,4152
B2501.DCE,2024-08-01 09:20:00,3722,3721,3726,3721,19,707440,4152
B2501.DCE,2024-08-01 09:25:00,3721,3726,3727,3721,48,1788110,4154
B2501.DCE,2024-08-01 09:30:00,3726,3728,3728,3726,6,223650,4149
B2501.DCE,2024-08-01 09:35:00,3728,3723,3729,3722,63,2346440,4145
B2501.DCE,2024-08-01 09:40:00,3723,3722,3724,3722,51,1898310,4185
B2501.DCE,2024-08-01 09:45:00,3722,3720,3722,3719,28,1041660,4192
B2501.DCE,2024-08-01 09:50:00,3720,3716,3720,3716,4,148730,4189
B2501.DCE,2024-08-01 09:55:00,3716,3718,3720,3716,14,520510,4193
B2501.DCE,2024-08-01 10:00:00,3718,3717,3718,3716,25,929250,4207
B2501.DCE,2024-08-01 10:05:00,3717,3713,3717,3713,81,3008670,4216
B2501.DCE,2024-08-01 10:10:00,3713,3714,3714,3711,33,1225110,4225
B2501.DCE,2024-08-01 10:15:00,3714,3707,3715,3706,60,2225440,4223
B2501.DCE,2024-08-01 10:35:00,3708,3697,3708,3694,108,3994960,4256
B2501.DCE,2024-08-01 10:40:00,3697,3693,3699,3693,81,2993020,4283
B2501.DCE,2024-08-01 10:45:00,3693,3693,3696,3691,72,2659030,4276
B2501.DCE,2024-08-01 10:50:00,3693,3692,3695,3691,60,2215880,4277
B2501.DCE,2024-08-01 10:55:00,3692,3687,3692,3687,43,1586020,4278
B2501.DCE,2024-08-01 11:00:00,3688,3688,3690,3687,14,516430,4277
B2501.DCE,2024-08-01 11:05:00,3688,3689,3689,3686,61,2249460,4278
B2501.DCE,2024-08-01 11:10:00,3689,3681,3689,3681,33,1215630,4283
B2501.DCE,2024-08-01 11:15:00,3681,3680,3683,3679,35,1288360,4296
B2501.DCE,2024-08-01 11:20:00,3680,3684,3685,3677,58,2135710,4293
B2501.DCE,2024-08-01 11:25:00,3684,3689,3689,3683,72,2654970,4258
B2501.DCE,2024-08-01 11:30:00,3689,3692,3692,3689,60,2214960,4235
B2501.DCE,2024-08-01 13:35:00,3692,3694,3697,3691,31,1145020,4224
B2501.DCE,2024-08-01 13:40:00,3694,3699,3699,3694,21,776450,4225
B2501.DCE,2024-08-01 13:45:00,3699,3700,3700,3697,31,1146610,4214
B2501.DCE,2024-08-01 13:50:00,3701,3707,3708,3700,38,1407920,4203
B2501.DCE,2024-08-01 13:55:00,3707,3715,3718,3707,47,1745470,4200
B2501.DCE,2024-08-01 14:00:00,3715,3718,3718,3713,22,817430,4194
B2501.DCE,2024-08-01 14:05:00,3718,3714,3719,3714,97,3604730,4208
B2501.DCE,2024-08-01 14:10:00,3714,3714,3714,3712,53,1967780,4210
B2501.DCE,2024-08-01 14:15:00,3713,3710,3717,3710,68,2526230,4183
B2501.DCE,2024-08-01 14:20:00,3710,3713,3713,3708,41,1521050,4195
B2501.DCE,2024-08-01 14:25:00,3713,3710,3713,3710,14,519520,4199
B2501.DCE,2024-08-01 14:30:00,3710,3707,3711,3707,34,1260980,4199
B2501.DCE,2024-08-01 14:35:00,3709,3710,3710,3704,34,1260260,4201
B2501.DCE,2024-08-01 14:40:00,3710,3704,3710,3704,7,259510,4198
B2501.DCE,2024-08-01 14:45:00,3704,3705,3705,3699,42,1554500,4193
B2501.DCE,2024-08-01 14:50:00,3705,3703,3706,3703,27,1000190,4205
B2501.DCE,2024-08-01 14:55:00,3703,3705,3708,3703,15,555740,4208
B2501.DCE,2024-08-01 15:00:00,3705,3704,3708,3704,33,1223110,4204
B2501.DCE,2024-08-01 21:00:00,3704,3704,3704,3704,0,0,4204
B2501.DCE,2024-08-01 21:05:00,3694,3696,3699,3692,102,3768990,4208
B2501.DCE,2024-08-01 21:10:00,3696,3697,3697,3693,31,1144980,4217
B2501.DCE,2024-08-01 21:15:00,3694,3698,3698,3692,23,849920,4220
B2501.DCE,2024-08-01 21:20:00,3698,3699,3699,3695,16,591660,4228
B2501.DCE,2024-08-01 21:25:00,3699,3698,3700,3698,11,406840,4234
B2501.DCE,2024-08-01 21:30:00,3698,3701,3702,3698,23,851010,4236
B2501.DCE,2024-08-01 21:35:00,3700,3703,3709,3699,105,3889260,4215
B2501.DCE,2024-08-01 21:40:00,3703,3712,3713,3703,57,2114720,4222
B2501.DCE,2024-08-01 21:45:00,3712,3707,3712,3706,29,1075430,4218
B2501.DCE,2024-08-01 21:50:00,3707,3699,3707,3697,21,777330,4215
B2501.DCE,2024-08-01 21:55:00,3701,3702,3705,3697,35,1295230,4230
B2501.DCE,2024-08-01 22:00:00,3702,3707,3707,3702,8,296460,4228
B2501.DCE,2024-08-01 22:05:00,3707,3714,3714,3707,54,2004480,4237
B2501.DCE,2024-08-01 22:10:00,3714,3705,3714,3705,24,889870,4236
B2501.DCE,2024-08-01 22:15:00,3705,3706,3706,3703,16,592690,4245
B2501.DCE,2024-08-01 22:20:00,3706,3701,3708,3701,27,999910,4245
B2501.DCE,2024-08-01 22:25:00,3702,3701,3704,3700,31,1147690,4237
B2501.DCE,2024-08-01 22:30:00,3701,3699,3703,3699,27,998990,4245
B2501.DCE,2024-08-01 22:35:00,3699,3695,3699,3695,17,628380,4249
B2501.DCE,2024-08-01 22:40:00,3697,3695,3697,3693,25,923840,4252
B2501.DCE,2024-08-01 22:45:00,3695,3694,3695,3693,10,369410,4252
B2501.DCE,2024-08-01 22:50:00,3694,3694,3697,3694,8,295600,4247
B2501.DCE,2024-08-01 22:55:00,3694,3697,3697,3694,3,110910,4246
B2501.DCE,2024-08-01 23:00:00,3697,3696,3699,3695,42,1552820,4248
B2501.DCE,2024-08-02 09:05:00,3696,3697,3699,3695,73,2698330,4251
B2501.DCE,2024-08-02 09:10:00,3697,3693,3697,3689,126,4651820,4260
B2501.DCE,2024-08-02 09:15:00,3693,3690,3693,3689,67,2473110,4263
B2501.DCE,2024-08-02 09:20:00,3690,3695,3696,3690,59,2179060,4263
B2501.DCE,2024-08-02 09:25:00,3696,3697,3698,3694,42,1552630,4252
B2501.DCE,2024-08-02 09:30:00,3697,3703,3703,3697,64,2367730,4246
B2501.DCE,2024-08-02 09:35:00,3703,3711,3713,3702,83,3078780,4227
B2501.DCE,2024-08-02 09:40:00,3711,3712,3713,3709,36,1336260,4238
B2501.DCE,2024-08-02 09:45:00,3712,3713,3717,3710,38,1411000,4235
B2501.DCE,2024-08-02 09:50:00,3713,3714,3715,3711,21,779820,4230
B2501.DCE,2024-08-02 09:55:00,3714,3712,3717,3712,17,631340,4224
B2501.DCE,2024-08-02 10:00:00,3712,3715,3715,3712,17,631300,4231
B2501.DCE,2024-08-02 10:05:00,3715,3710,3720,3710,73,2712380,4241
B2501.DCE,2024-08-02 10:10:00,3710,3715,3715,3708,14,519640,4237
B2501.DCE,2024-08-02 10:15:00,3715,3714,3715,3714,3,111430,4236
B2501.DCE,2024-08-02 10:35:00,3711,3706,3711,3706,49,1817280,4239
B2501.DCE,2024-08-02 10:40:00,3706,3709,3710,3705,30,1112130,4246
B2501.DCE,2024-08-02 10:45:00,3708,3708,3712,3707,48,1780720,4265
B2501.DCE,2024-08-02 10:50:00,3708,3707,3710,3707,39,1446670,4270
B2501.DCE,2024-08-02 10:55:00,3707,3711,3712,3707,36,1335480,4280
B2501.DCE,2024-08-02 11:00:00,3711,3710,3715,3710,21,779490,4268
B2501.DCE,2024-08-02 11:05:00,3710,3712,3713,3710,30,1113720,4275
B2501.DCE,2024-08-02 11:10:00,3712,3713,3713,3712,12,445510,4274
B2501.DCE,2024-08-02 11:15:00,3713,3713,3715,3712,5,185660,4275
B2501.DCE,2024-08-02 11:20:00,3713,3716,3716,3713,6,222840,4275
B2501.DCE,2024-08-02 11:25:00,3717,3713,3717,3711,46,1708810,4270
B2501.DCE,2024-08-02 11:30:00,3713,3713,3714,3712,18,668310,4264
B2501.DCE,2024-08-02 13:35:00,3713,3717,3722,3713,52,1933740,4259
B2501.DCE,2024-08-02 13:40:00,3718,3717,3719,3716,88,3271470,4235
B2501.DCE,2024-08-02 13:45:00,3717,3717,3718,3716,52,1932880,4235
B2501.DCE,2024-08-02 13:50:00,3717,3727,3728,3717,52,1935120,4219
B2501.DCE,2024-08-02 13:55:00,3727,3730,3730,3726,49,1827060,4214
B2501.DCE,2024-08-02 14:00:00,3730,3731,3731,3728,33,1230720,4201
B2501.DCE,2024-08-02 14:05:00,3731,3729,3734,3729,45,1679600,4195
B2501.DCE,2024-08-02 14:10:00,3729,3731,3731,3726,86,3206940,4204
B2501.DCE,2024-08-02 14:15:00,3731,3729,3733,3728,43,1604080,4238
B2501.DCE,2024-08-02 14:20:00,3729,3727,3729,3726,15,559110,4233
B2501.DCE,2024-08-02 14:25:00,3727,3729,3733,3727,10,373110,4231
B2501.DCE,2024-08-02 14:30:00,3732,3735,3735,3731,64,2389870,4275
B2501.DCE,2024-08-02 14:35:00,3735,3733,3739,3733,53,1980130,4275
B2501.DCE,2024-08-02 14:40:00,3733,3733,3736,3732,9,336060,4274
B2501.DCE,2024-08-02 14:45:00,3732,3733,3733,3730,14,522420,4270
B2501.DCE,2024-08-02 14:50:00,3733,3734,3735,3732,24,895920,4261
B2501.DCE,2024-08-02 14:55:00,3734,3736,3738,3734,67,2502800,4275
B2501.DCE,2024-08-02 15:00:00,3736,3736,3736,3734,51,1904720,4291
B2501.DCE,2024-08-02 21:00:00,3736,3736,3736,3736,0,0,4291
B2501.DCE,2024-08-02 21:05:00,3736,3726,3736,3724,79,2946330,4296
B2501.DCE,2024-08-02 21:10:00,3726,3729,3729,3726,62,2311330,4296
B2501.DCE,2024-08-02 21:15:00,3729,3728,3730,3725,17,633680,4306
B2501.DCE,2024-08-02 21:20:00,3728,3734,3734,3726,54,2013710,4308
B2501.DCE,2024-08-02 21:25:00,3734,3729,3734,3728,49,1828040,4332
B2501.DCE,2024-08-02 21:30:00,3729,3722,3729,3721,78,2904430,4345
B2501.DCE,2024-08-02 21:35:00,3722,3726,3729,3722,9,335320,4348
B2501.DCE,2024-08-02 21:40:00,3725,3726,3727,3720,25,931060,4351
B2501.DCE,2024-08-02 21:45:00,3726,3729,3730,3726,26,969720,4345
B2501.DCE,2024-08-02 21:50:00,3729,3730,3730,3729,9,335660,4347
B2501.DCE,2024-08-02 21:55:00,3730,3733,3736,3730,16,597330,4350
B2501.DCE,2024-08-02 22:00:00,3733,3729,3733,3729,9,335670,4349
B2501.DCE,2024-08-02 22:05:00,3729,3734,3736,3729,73,2726680,4306
B2501.DCE,2024-08-02 22:10:00,3734,3730,3734,3730,16,597130,4312
B2501.DCE,2024-08-02 22:15:00,3730,3726,3731,3725,36,1341920,4304
B2501.DCE,2024-08-02 22:20:00,3726,3721,3726,3720,53,1972690,4317
B2501.DCE,2024-08-02 22:25:00,3721,3722,3722,3718,15,557980,4330
B2501.DCE,2024-08-02 22:30:00,3722,3719,3722,3719,12,446460,4341
