ts_code,date,open,close,high,low,vol,amount,oi
Y2501.DCE,2024-08-01 09:05:00,7722,7714,7728,7708,4472,345086560,362494
Y2501.DCE,2024-08-01 09:10:00,7714,7708,7716,7708,2027,156320140,362884
Y2501.DCE,2024-08-01 09:15:00,7708,7700,7710,7698,2341,180366110,362400
Y2501.DCE,2024-08-01 09:20:00,7700,7706,7716,7700,2355,181559180,363106
Y2501.DCE,2024-08-01 09:25:00,7706,7712,7712,7706,616,47491780,363015
Y2501.DCE,2024-08-01 09:30:00,7712,7712,7716,7708,1147,88466400,363146
Y2501.DCE,2024-08-01 09:35:00,7712,7696,7716,7692,2338,180079540,363522
Y2501.DCE,2024-08-01 09:40:00,7696,7688,7700,7686,2407,185146530,364440
Y2501.DCE,2024-08-01 09:45:00,7688,7686,7690,7682,2220,170646320,365269
Y2501.DCE,2024-08-01 09:50:00,7684,7680,7688,7678,1823,140055460,365198
Y2501.DCE,2024-08-01 09:55:00,7680,7672,7684,7672,1673,128432600,365413
Y2501.DCE,2024-08-01 10:00:00,7672,7676,7680,7672,1067,81917620,365658
Y2501.DCE,2024-08-01 10:05:00,7676,7670,7678,7666,2676,205249310,366098
Y2501.DCE,2024-08-01 10:10:00,7670,7682,7682,7666,2545,195311400,365705
Y2501.DCE,2024-08-01 10:15:00,7682,7662,7682,7658,4070,312015000,366177
Y2501.DCE,2024-08-01 10:35:00,7666,7664,7666,7654,3557,272407580,366556
Y2501.DCE,2024-08-01 10:40:00,7664,7668,7670,7654,3489,267283540,366545
Y2501.DCE,2024-08-01 10:45:00,7668,7664,7672,7656,2334,178876800,366350
Y2501.DCE,2024-08-01 10:50:00,7664,7654,7664,7654,2685,205623680,366059
Y2501.DCE,2024-08-01 10:55:00,7654,7642,7656,7640,3173,242658420,365782
Y2501.DCE,2024-08-01 11:00:00,7644,7640,7646,7636,2719,207751230,366071
Y2501.DCE,2024-08-01 11:05:00,7640,7640,7644,7632,2834,216430340,366160
Y2501.DCE,2024-08-01 11:10:00,7640,7622,7640,7620,2520,192269260,366940
Y2501.DCE,2024-08-01 11:15:00,7622,7620,7628,7614,3253,247875900,367203
Y2501.DCE,2024-08-01 11:20:00,7620,7624,7626,7618,2092,159441380,367536
Y2501.DCE,2024-08-01 11:25:00,7624,7646,7648,7622,3320,253486340,367662
Y2501.DCE,2024-08-01 11:30:00,7646,7642,7650,7640,2560,195749250,367812
Y2501.DCE,2024-08-01 13:35:00,7646,7646,7656,7634,3112,237902080,367563
Y2501.DCE,2024-08-01 13:40:00,7646,7644,7648,7640,1053,80505860,367400
Y2501.DCE,2024-08-01 13:45:00,7644,7644,7646,7640,894,68338320,367630
Y2501.DCE,2024-08-01 13:50:00,7644,7650,7650,7640,948,72489480,367680
Y2501.DCE,2024-08-01 13:55:00,7650,7654,7656,7646,2460,188188060,367737
Y2501.DCE,2024-08-01 14:00:00,7654,7656,7662,7646,2114,161807680,368068
Y2501.DCE,2024-08-01 14:05:00,7656,7648,7660,7648,2123,162519020,368480
Y2501.DCE,2024-08-01 14:10:00,7648,7650,7650,7642,1429,109268320,369041
Y2501.DCE,2024-08-01 14:15:00,7646,7636,7650,7634,1733,132418720,368799
Y2501.DCE,2024-08-01 14:20:00,7636,7636,7638,7628,1710,130508760,369022
Y2501.DCE,2024-08-01 14:25:00,7636,7624,7636,7622,1163,88710360,369446
Y2501.DCE,2024-08-01 14:30:00,7624,7618,7624,7616,2108,160621920,370106
Y2501.DCE,2024-08-01 14:35:00,7618,7624,7624,7604,5904,449458270,370206
Y2501.DCE,2024-08-01 14:40:00,7624,7610,7624,7608,3693,281235550,370135
Y2501.DCE,2024-08-01 14:45:00,7610,7604,7612,7594,5611,426591330,371442
